IEEE TRANSACTIONS ON FUZZY SYSTEMS,5.484
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,5.165
IEEE Communications Surveys and Tutorials,4.818
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,4.810
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,4.795
IEEE Computational Intelligence Magazine,4.629
IEEE TRANSACTIONS ON POWER ELECTRONICS,4.080
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,4.078
IEEE TRANSACTIONS ON MEDICAL IMAGING,4.027
IEEE Transactions on Neural Networks and Learning Systems,3.766
IEEE Industrial Electronics Magazine,3.758
IEEE WIRELESS COMMUNICATIONS,3.740
IEEE COMMUNICATIONS MAGAZINE,3.661
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,3.467
IEEE Transactions on Industrial Informatics,3.381
IEEE SIGNAL PROCESSING MAGAZINE,3.368
IEEE Journal of Selected Topics in Signal Processing,3.297
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,3.255
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,3.236
IEEE TRANSACTIONS ON IMAGE PROCESSING,3.199
IEEE-ASME TRANSACTIONS ON MECHATRONICS,3.135
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,3.121
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,3.064
IEEE JOURNAL OF SOLID-STATE CIRCUITS,3.063
IEEE TRANSACTIONS ON POWER SYSTEMS,2.921
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2.874
IEEE NETWORK,2.853
IEEE TRANSACTIONS ON SIGNAL PROCESSING,2.813
IEEE ELECTRON DEVICE LETTERS,2.789
IEEE Transactions on Biomedical Circuits and Systems,2.743
IEEE ENGINEERING IN MEDICINE AND BIOLOGY MAGAZINE,2.727
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,2.718
IEEE TRANSACTIONS ON INFORMATION THEORY,2.621
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,2.588
IEEE Transactions on Robotics,2.571
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,2.548
IEEE ROBOTICS & AUTOMATION MAGAZINE,2.484
IEEE Transactions on Services Computing,2.460
IEEE TRANSACTIONS ON ENERGY CONVERSION,2.427
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,2.418
IEEE TRANSACTIONS ON MOBILE COMPUTING,2.395
IEEE MICRO,2.386
IEEE CONTROL SYSTEMS MAGAZINE,2.372
IEEE Photonics Journal,2.356
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,2.348
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,2.332
IEEE TRANSACTIONS ON RELIABILITY,2.293
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,2.240
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,2.229
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART A-SYSTEMS AND HUMANS,2.183
IEEE Transactions on Autonomous Mental Development,2.170
IEEE TRANSACTIONS ON BROADCASTING,2.087
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,2.063
IEEE TRANSACTIONS ON ELECTRON DEVICES,2.062
IEEE PERVASIVE COMPUTING,2.055
IEEE INTERNET COMPUTING,2.039
IEEE PHOTONICS TECHNOLOGY LETTERS,2.038
IEEE-ACM TRANSACTIONS ON NETWORKING,2.014
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,2.000
IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,1.978
IEEE INTELLIGENT SYSTEMS,1.930
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1.898
IEEE Transactions on Information Forensics and Security,1.895
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1.892
IEEE JOURNAL OF QUANTUM ELECTRONICS,1.830
IEEE Geoscience and Remote Sensing Letters,1.823
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,1.822
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,1.819
IEEE TRANSACTIONS ON NANOTECHNOLOGY,1.800
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,1.796
IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,1.784
IEEE TRANSACTIONS ON MULTIMEDIA,1.754
IEEE TRANSACTIONS ON COMMUNICATIONS,1.750
IEEE Transactions on Computational Intelligence and AI in Games,1.694
IEEE Transactions on Audio Speech and Language Processing,1.675
IEEE SIGNAL PROCESSING LETTERS,1.674
IEEE Transactions on Automation Science and Engineering,1.674
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,1.672
IEEE Antennas and Wireless Propagation Letters,1.667
IEEE Circuits and Systems Magazine,1.667
IEEE DESIGN & TEST OF COMPUTERS,1.623
IEEE SOFTWARE,1.616
IEEE-ACM Transactions on Computational Biology and Bioinformatics,1.616
IEEE Power & Energy Magazine,1.582
IEEE TRANSACTIONS ON POWER DELIVERY,1.519
IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,1.516
IEEE MICROWAVE MAGAZINE,1.495
IEEE SENSORS JOURNAL,1.475
IEEE TRANSACTIONS ON MAGNETICS,1.422
IEEE Transactions on Haptics,1.393
IEEE TRANSACTIONS ON COMPUTERS,1.379
IEEE TRANSACTIONS ON DIELECTRICS AND ELECTRICAL INSULATION,1.360
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,1.357
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS II-EXPRESS BRIEFS,1.327
IEEE TRANSACTIONS ON ELECTROMAGNETIC COMPATIBILITY,1.327
IEEE ELECTRICAL INSULATION MAGAZINE,1.322
IEEE SPECTRUM,1.322
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,1.299
IEEE TRANSACTIONS ON NANOBIOSCIENCE,1.286
IEEE Systems Journal,1.270
IEEE Transactions on Components Packaging and Manufacturing Technology,1.261
IEEE COMPUTER GRAPHICS AND APPLICATIONS,1.228
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,1.219
IEEE TRANSACTIONS ON VERY LARGE SCALE INTEGRATION (VLSI) SYSTEMS,1.218
IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY,1.199
IEEE ANTENNAS AND PROPAGATION MAGAZINE,1.180
IEEE COMMUNICATIONS LETTERS,1.160
IEEE JOURNAL OF OCEANIC ENGINEERING,1.157
IEEE Vehicular Technology Magazine,1.105
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,1.093
IEEE TRANSACTIONS ON CONSUMER ELECTRONICS,1.087
IEEE Transactions on Dependable and Secure Computing,1.059
IEEE MULTIMEDIA,0.984
IEEE SECURITY & PRIVACY,0.962
IEEE TRANSACTIONS ON EDUCATION,0.950
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,0.893
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,0.893
IEEE TRANSACTIONS ON PLASMA SCIENCE,0.868
IEEE TRANSACTIONS ON SEMICONDUCTOR MANUFACTURING,0.862
IEEE Computer Architecture Letters,0.852
IEEE Transactions on Learning Technologies,0.758
IEEE Transactions on Learning Technologies,0.758
IEEE ANNALS OF THE HISTORY OF COMPUTING,0.575
IEEE TRANSACTIONS ON PROFESSIONAL COMMUNICATION,0.574
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE,0.556
IEEE Pulse,0.545
IEEE TECHNOLOGY AND SOCIETY MAGAZINE,0.542
IEEE INDUSTRY APPLICATIONS MAGAZINE,0.483
IEEE AEROSPACE AND ELECTRONIC SYSTEMS MAGAZINE,0.343
IEEE Latin America Transactions,0.218
