IEEE Transactions on Industrial Informatics,8.785
IEEE WIRELESS COMMUNICATIONS,6.524
IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,6.500
IEEE Communications Surveys and Tutorials,6.490
IEEE TRANSACTIONS ON FUZZY SYSTEMS,6.306
IEEE TRANSACTIONS ON POWER ELECTRONICS,5.726
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,5.694
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,5.545
IEEE Industrial Electronics Magazine,5.061
IEEE SIGNAL PROCESSING MAGAZINE,4.481
IEEE COMMUNICATIONS MAGAZINE,4.460
IEEE Transactions on Neural Networks and Learning Systems,4.370
IEEE Transactions on Terahertz Science and Technology,4.342
IEEE Transactions on Smart Grid,4.334
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,4.138
IEEE Transactions on Sustainable Energy,3.842
IEEE TRANSACTIONS ON MEDICAL IMAGING,3.799
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART B-CYBERNETICS,3.781
IEEE NETWORK,3.720
IEEE-ASME TRANSACTIONS ON MECHATRONICS,3.652
IEEE Journal of Selected Topics in Signal Processing,3.629
IEEE TRANSACTIONS ON POWER SYSTEMS,3.530
IEEE Transactions on Affective Computing,3.466
IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS,3.465
IEEE CONTROL SYSTEMS MAGAZINE,3.386
IEEE TRANSACTIONS ON ENERGY CONVERSION,3.353
IEEE TRANSACTIONS ON SIGNAL PROCESSING,3.198
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,3.167
IEEE Transactions on Biomedical Circuits and Systems,3.149
IEEE TRANSACTIONS ON IMAGE PROCESSING,3.111
IEEE JOURNAL OF SOLID-STATE CIRCUITS,3.106
IEEE ELECTRON DEVICE LETTERS,3.023
IEEE Journal of Photovoltaics,3.000
IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,2.943
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2.933
IEEE TRANSACTIONS ON MOBILE COMPUTING,2.912
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2.827
IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING,2.821
IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,2.762
IEEE Computational Intelligence Magazine,2.706
IEEE TRANSACTIONS ON BROADCASTING,2.652
IEEE TRANSACTIONS ON INFORMATION THEORY,2.650
IEEE Transactions on Robotics,2.649
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,2.642
IEEE Transactions on Audio Speech and Language Processing,2.625
IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,2.521
IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,2.472
IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION,2.459
IEEE TRANSACTIONS ON ELECTRON DEVICES,2.358
IEEE Photonics Journal,2.330
IEEE ROBOTICS & AUTOMATION MAGAZINE,2.319
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,2.303
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,2.292
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY,2.259
IEEE MICROWAVE AND WIRELESS COMPONENTS LETTERS,2.236
IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,2.233
IEEE PHOTONICS TECHNOLOGY LETTERS,2.176
IEEE TRANSACTIONS ON PARALLEL AND DISTRIBUTED SYSTEMS,2.173
IEEE Transactions on Systems Man Cybernetics-Systems,2.169
IEEE Transactions on Automation Science and Engineering,2.162
IEEE JOURNAL OF QUANTUM ELECTRONICS,2.113
IEEE PERVASIVE COMPUTING,2.103
IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,2.072
IEEE Transactions on Information Forensics and Security,2.065
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,2.046
IEEE Transactions on Haptics,2.030
IEEE INTERNET COMPUTING,2.000
IEEE-ACM TRANSACTIONS ON NETWORKING,1.986
IEEE Transactions on Services Computing,1.985
IEEE TRANSACTIONS ON COMMUNICATIONS,1.979
IEEE Antennas and Wireless Propagation Letters,1.948
IEEE INTELLIGENT SYSTEMS,1.920
IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,1.919
IEEE SENSORS JOURNAL,1.852
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,1.815
IEEE MICRO,1.812
IEEE Geoscience and Remote Sensing Letters,1.809
IEEE TRANSACTIONS ON MULTIMEDIA,1.776
IEEE TRANSACTIONS ON NANOBIOSCIENCE,1.768
IEEE MULTIMEDIA,1.767
IEEE Systems Journal,1.746
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,1.710
IEEE Circuits and Systems Magazine,1.700
IEEE MICROWAVE MAGAZINE,1.674
IEEE TRANSACTIONS ON POWER DELIVERY,1.657
IEEE TRANSACTIONS ON RELIABILITY,1.657
IEEE SIGNAL PROCESSING LETTERS,1.639
IEEE TRANSACTIONS ON NANOTECHNOLOGY,1.619
IEEE ELECTRICAL INSULATION MAGAZINE,1.610
IEEE Vehicular Technology Magazine,1.567
IEEE TRANSACTIONS ON DEVICE AND MATERIALS RELIABILITY,1.544
IEEE-ACM Transactions on Computational Biology and Bioinformatics,1.536
IEEE TRANSACTIONS ON SYSTEMS MAN AND CYBERNETICS PART C-APPLICATIONS AND REVIEWS,1.526
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL,1.503
IEEE TRANSACTIONS ON COMPUTERS,1.473
IEEE COMMUNICATIONS LETTERS,1.463
IEEE TRANSACTIONS ON NUCLEAR SCIENCE,1.455
IEEE Power & Energy Magazine,1.430
