CA-A CANCER JOURNAL FOR CLINICIANS,87.925
ACTA CRYSTALLOGRAPHICA SECTION A,49.926
NEW ENGLAND JOURNAL OF MEDICINE,47.050
NATURE REVIEWS MOLECULAR CELL BIOLOGY,42.198
ANNUAL REVIEW OF IMMUNOLOGY,37.902
PHYSIOLOGICAL REVIEWS,37.726
CHEMICAL REVIEWS,35.957
NATURE,34.480
NATURE GENETICS,34.284
REVIEWS OF MODERN PHYSICS,33.145
NATURE REVIEWS IMMUNOLOGY,32.245
CELL,31.152
LANCET,30.758
ANNUAL REVIEW OF BIOCHEMISTRY,29.875
SCIENCE,29.747
NATURE REVIEWS CANCER,29.538
NATURE MATERIALS,29.504
NATURE BIOTECHNOLOGY,29.495
NATURE REVIEWS DRUG DISCOVERY,29.059
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,28.899
NATURE REVIEWS GENETICS,27.822
NATURE MEDICINE,27.136
NATURE REVIEWS NEUROSCIENCE,26.483
Nature Nanotechnology,26.309
NATURE IMMUNOLOGY,26.000
ANNUAL REVIEW OF ASTRONOMY AND ASTROPHYSICS,25.640
CANCER CELL,25.288
ANNUAL REVIEW OF NEUROSCIENCE,24.822
PROGRESS IN POLYMER SCIENCE,23.753
Cell Stem Cell,23.563
ANNUAL REVIEW OF PLANT BIOLOGY,23.460
Nature Photonics,22.869
ANNUAL REVIEW OF PSYCHOLOGY,22.750
ANNUAL REVIEW OF PSYCHOLOGY,22.750
ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY,22.468
IMMUNITY,20.589
CHEMICAL SOCIETY REVIEWS,20.086
ENDOCRINE REVIEWS,19.761
ADVANCES IN PHYSICS,19.632
ANNUAL REVIEW OF CELL AND DEVELOPMENTAL BIOLOGY,19.571
NATURE CELL BIOLOGY,19.527
Annual Review of Biophysics,19.304
BEHAVIORAL AND BRAIN SCIENCES,19.045
BEHAVIORAL AND BRAIN SCIENCES,19.045
ANNUAL REVIEW OF BIOPHYSICS AND BIOMOLECULAR STRUCTURE,18.955
ALDRICHIMICA ACTA,18.688
ACCOUNTS OF CHEMICAL RESEARCH,18.203
ANNUAL REVIEW OF PHYSIOLOGY,18.170
LANCET NEUROLOGY,18.126
JOURNAL OF CLINICAL ONCOLOGY,17.793
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,17.752
NATURE REVIEWS MICROBIOLOGY,17.644
EPIDEMIOLOGIC REVIEWS,17.500
ANNUAL REVIEW OF PHYSICAL CHEMISTRY,17.464
Cell Metabolism,17.350
PHARMACOLOGICAL REVIEWS,17.000
NATURE METHODS,16.874
ANNALS OF INTERNAL MEDICINE,16.225
Nature Chemical Biology,16.058
PROGRESS IN MATERIALS SCIENCE,15.769
LANCET INFECTIOUS DISEASES,15.583
Nature Physics,15.491
JOURNAL OF CLINICAL INVESTIGATION,15.387
MOLECULAR PSYCHIATRY,15.049
CIRCULATION,14.816
CLINICAL MICROBIOLOGY REVIEWS,14.691
MOLECULAR CELL,14.608
JOURNAL OF EXPERIMENTAL MEDICINE,14.505
LANCET ONCOLOGY,14.470
NATURE NEUROSCIENCE,14.345
CURRENT OPINION IN CELL BIOLOGY,14.153
JOURNAL OF THE NATIONAL CANCER INSTITUTE,14.069
BRITISH MEDICAL JOURNAL,13.660
Annual Review of Pathology-Mechanisms of Disease,13.500
SURFACE SCIENCE REPORTS,13.462
DEVELOPMENTAL CELL,13.363
NEURON,13.260
Nano Today,13.237
ANNUAL REVIEW OF GENETICS,13.235
PLOS MEDICINE,13.050
Cell Host & Microbe,13.021
PLOS BIOLOGY,12.916
GASTROENTEROLOGY,12.899
PSYCHOLOGICAL BULLETIN,12.854
PSYCHOLOGICAL BULLETIN,12.854
ANNUAL REVIEW OF MICROBIOLOGY,12.804
TRENDS IN NEUROSCIENCES,12.794
ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES,12.771
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,12.640
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,12.585
DRUG RESISTANCE UPDATES,12.581
AMERICAN JOURNAL OF PSYCHIATRY,12.522
AMERICAN JOURNAL OF PSYCHIATRY,12.522
AMERICAN JOURNAL OF HUMAN GENETICS,12.303
NATURE STRUCTURAL & MOLECULAR BIOLOGY,12.273
ARCHIVES OF GENERAL PSYCHIATRY,12.257
ARCHIVES OF GENERAL PSYCHIATRY,12.257
MATERIALS SCIENCE & ENGINEERING R-REPORTS,12.217
Molecular Systems Biology,12.125
TRENDS IN CELL BIOLOGY,12.115
GENES & DEVELOPMENT,12.075
FRONTIERS IN NEUROENDOCRINOLOGY,12.048
ANNUAL REVIEW OF NUCLEAR AND PARTICLE SCIENCE,11.964
ADVANCED DRUG DELIVERY REVIEWS,11.957
ASTRONOMY AND ASTROPHYSICS REVIEW,11.857
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,11.829
BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,11.685
TRENDS IN COGNITIVE SCIENCES,11.664
TRENDS IN COGNITIVE SCIENCES,11.664
TRENDS IN BIOCHEMICAL SCIENCES,11.572
ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS,11.568
TRENDS IN ECOLOGY & EVOLUTION,11.564
Materials Today,11.452
REPORTS ON PROGRESS IN PHYSICS,11.444
GENOME RESEARCH,11.342
ANNUAL REVIEW OF ENTOMOLOGY,11.271
ANNUAL REVIEW OF BIOMEDICAL ENGINEERING,11.235
COORDINATION CHEMISTRY REVIEWS,11.225
ANNUAL REVIEW OF PHYTOPATHOLOGY,11.212
TRENDS IN MOLECULAR MEDICINE,11.049
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,11.024
CURRENT BIOLOGY,10.992
CURRENT OPINION IN IMMUNOLOGY,10.881
HEPATOLOGY,10.840
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,10.689
MASS SPECTROMETRY REVIEWS,10.623
Living Reviews in Relativity,10.600
BLOOD,10.555
CURRENT OPINION IN PLANT BIOLOGY,10.333
ECOLOGY LETTERS,10.318
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,10.216
QUARTERLY REVIEWS OF BIOPHYSICS,10.200
IMMUNOLOGICAL REVIEWS,10.050
NANO LETTERS,9.991
ANNUAL REVIEW OF MEDICINE,9.940
TRENDS IN PLANT SCIENCE,9.883
MOLECULAR BIOLOGY AND EVOLUTION,9.872
ARCHIVES OF INTERNAL MEDICINE,9.813
EUROPEAN HEART JOURNAL,9.800
FEMS MICROBIOLOGY REVIEWS,9.783
Annual Review of Clinical Psychology,9.613
Annual Review of Clinical Psychology,9.613
JOURNAL OF CELL BIOLOGY,9.575
PLoS Genetics,9.532
BRAIN,9.490
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,9.432
GUT,9.357
ANNUAL REVIEW OF FLUID MECHANICS,9.353
CANCER AND METASTASIS REVIEWS,9.345
CURRENT OPINION IN STRUCTURAL BIOLOGY,9.344
ANNALS OF NEUROLOGY,9.317
PLANT CELL,9.293
PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,9.250
CIRCULATION RESEARCH,9.214
NATURAL PRODUCT REPORTS,9.202
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,9.165
SEMINARS IN IMMUNOLOGY,9.155
PROGRESS IN NEUROBIOLOGY,9.140
PSYCHOLOGICAL REVIEW,9.082
PSYCHOLOGICAL REVIEW,9.082
TRENDS IN PHARMACOLOGICAL SCIENCES,9.064
